B G R Target
65 58 179 MERAH
53 44 160 MERAH
41 39 158 MERAH
36 27 148 MERAH
30 19 139 MERAH
36 21 146 MERAH
54 41 170 MERAH
65 48 179 MERAH
48 29 165 MERAH
49 40 173 MERAH
70 59 185 MERAH
27 21 132 MERAH
33 18 133 MERAH
33 29 141 MERAH
34 28 141 MERAH
40 31 149 MERAH
38 29 139 MERAH
33 27 139 MERAH
36 28 130 MERAH
34 26 137 MERAH
37 29 144 MERAH
37 30 139 MERAH
38 27 141 MERAH
27 16 125 MERAH
42 33 149 MERAH
46 39 161 MERAH
70 61 181 MERAH
26 24 133 MERAH
37 25 125 MERAH
27 22 124 MERAH
37 25 124 MERAH
38 23 121 MERAH
33 22 122 MERAH
28 22 117 MERAH
29 19 112 MERAH
30 21 116 MERAH
24 22 109 MERAH
35 18 120 MERAH
37 21 108 MERAH
32 21 117 MERAH
32 19 117 MERAH
31 20 117 MERAH
30 17 109 MERAH
36 21 110 MERAH
33 19 113 MERAH
33 24 125 MERAH
56 44 166 MERAH
41 37 153 MERAH
29 20 123 MERAH
25 19 111 MERAH
38 21 129 MERAH
38 27 133 MERAH
33 26 124 MERAH
31 25 130 MERAH
54 47 151 MERAH
57 46 165 MERAH
64 43 163 MERAH
27 22 128 MERAH
23 13 122 MERAH
29 18 130 MERAH
27 17 115 MERAH
39 18 121 MERAH
26 19 107 MERAH
23 18 104 MERAH
29 24 116 MERAH
25 15 112 MERAH
32 20 115 MERAH
21 13 106 MERAH
35 14 117 MERAH
31 17 115 MERAH
30 16 114 MERAH
25 18 112 MERAH
27 18 107 MERAH
26 19 114 MERAH
26 19 111 MERAH
32 18 113 MERAH
32 19 111 MERAH
36 17 117 MERAH
25 17 114 MERAH
34 17 114 MERAH
20 22 109 MERAH
33 21 110 MERAH
34 22 118 MERAH
36 31 129 MERAH
34 20 109 MERAH
26 20 116 MERAH
37 26 115 MERAH
31 20 126 MERAH
57 173 53 HIJAU
68 181 59 HIJAU
85 189 69 HIJAU
77 190 76 HIJAU
76 187 71 HIJAU
76 189 71 HIJAU
82 191 79 HIJAU
86 193 80 HIJAU
88 193 79 HIJAU
86 193 77 HIJAU
88 196 86 HIJAU
95 202 86 HIJAU
97 204 91 HIJAU
97 201 94 HIJAU
74 179 86 HIJAU
58 169 79 HIJAU
57 165 75 HIJAU
68 174 87 HIJAU
76 184 101 HIJAU
95 191 116 HIJAU
86 189 109 HIJAU
82 186 106 HIJAU
62 169 90 HIJAU
63 169 85 HIJAU
60 165 81 HIJAU
53 167 84 HIJAU
62 164 75 HIJAU
65 172 82 HIJAU
71 176 92 HIJAU
66 175 83 HIJAU
71 179 89 HIJAU
68 174 95 HIJAU
59 172 85 HIJAU
68 170 88 HIJAU
54 172 82 HIJAU
55 171 78 HIJAU
51 167 77 HIJAU
49 169 75 HIJAU
45 165 67 HIJAU
50 167 65 HIJAU
63 173 77 HIJAU
59 173 75 HIJAU
60 169 80 HIJAU
55 168 74 HIJAU
54 166 75 HIJAU
55 164 72 HIJAU
48 163 60 HIJAU
51 164 67 HIJAU
45 161 65 HIJAU
48 162 69 HIJAU
47 160 68 HIJAU
53 159 68 HIJAU
46 158 70 HIJAU
49 163 73 HIJAU
42 160 65 HIJAU
52 160 68 HIJAU
49 159 67 HIJAU
50 161 66 HIJAU
45 160 67 HIJAU
51 160 67 HIJAU
42 158 68 HIJAU
50 159 66 HIJAU
43 160 67 HIJAU
50 159 69 HIJAU
47 165 72 HIJAU
50 161 69 HIJAU
50 163 69 HIJAU
49 166 71 HIJAU
47 161 70 HIJAU
52 168 72 HIJAU
54 162 73 HIJAU
50 163 71 HIJAU
53 163 67 HIJAU
47 162 68 HIJAU
46 159 67 HIJAU
50 160 68 HIJAU
48 161 66 HIJAU
54 167 79 HIJAU
54 165 73 HIJAU
52 166 75 HIJAU
54 166 72 HIJAU
51 166 76 HIJAU
50 168 76 HIJAU
48 166 75 HIJAU
53 166 73 HIJAU
52 166 80 HIJAU
54 169 76 HIJAU
55 169 81 HIJAU
52 165 71 HIJAU
44 167 77 HIJAU
64 169 79 HIJAU
53 171 76 HIJAU
54 165 73 HIJAU
58 167 78 HIJAU
54 170 81 HIJAU
52 167 73 HIJAU
53 170 78 HIJAU
61 172 77 HIJAU
49 170 79 HIJAU
63 171 76 HIJAU
49 166 71 HIJAU
53 167 73 HIJAU
46 163 67 HIJAU
46 162 63 HIJAU
50 165 66 HIJAU
46 162 65 HIJAU
52 161 65 HIJAU
43 162 69 HIJAU
45 159 68 HIJAU
50 161 59 HIJAU
52 162 67 HIJAU
45 162 64 HIJAU
43 159 66 HIJAU
46 162 66 HIJAU
44 160 61 HIJAU
46 161 71 HIJAU
47 163 61 HIJAU
48 160 66 HIJAU
48 161 66 HIJAU
49 159 66 HIJAU
41 159 66 HIJAU
53 166 78 HIJAU
47 166 70 HIJAU
48 165 73 HIJAU
50 163 69 HIJAU
48 163 70 HIJAU
57 165 73 HIJAU
45 164 72 HIJAU
47 165 73 HIJAU
60 164 73 HIJAU
51 162 73 HIJAU
49 169 71 HIJAU
52 161 72 HIJAU
51 164 74 HIJAU
48 164 68 HIJAU
52 164 67 HIJAU
50 168 75 HIJAU
133 133 133 PUTIH
124 124 124 PUTIH
142 139 139 PUTIH
138 133 134 PUTIH
143 135 136 PUTIH
